,Name,Marketcap,Price,Circ. Supply,Blockchain,24h Change,7d Change
717,Phore PHR , 1.87M,0, 19.04M, Own Blockchain,0,0
718,Mooncoin MOON , 1.87M,0, 226.15B, Own Blockchain,0,0
719,Rubycoin RBY , 1.86M,0, 27.38M, Own Blockchain,0,0
720,Hashgard GARD , 1.85M,0, 56.86B, Ethereum (ERC20),0,0
721,Bean Cash BITB , 1.85M,0, 3.31B, Own Blockchain,0,0
722,AI Doctor AIDOC , 1.85M,0, 559.96M, Own Blockchain,0,0
723,Insights Network INSTAR , 1.83M,0, 145.1M, EOS,0,0
724,ALQO XLQ , 1.83M,0, 64.66M, Own Blockchain,0,0
725,Airbloc ABL , 1.82M,0, 252.38M, Ethereum (ERC20),0,0
726,Primalbase Token PBT , 1.82M,0, 1.25K, Waves,0,0
727,VegaWallet Token VGW , 1.81M,0, 12.96M, Ethereum (ERC20),0,0
728,Dynamic DYN , 1.81M,0, 14.82M, Own Blockchain,0,0
729,MultiVAC MTV , 1.81M,0, 2.16B, Ethereum (ERC20),0,0
730,ShipChain SHIP , 1.8M,0, 261.16M, Ethereum (ERC20),0,0
731,remme REM , 1.79M,0, 659.32M, Ethereum (ERC20),0,0
732,Loopring [NEO] LRN , 1.79M,0, 113.6M, Own Blockchain,0,0
733,EOSDT EOSDT , 1.79M,0, 1.8M, EOS,0,0
734,Merculet MVP , 1.78M,0, 2.42B, Ethereum (ERC20),0,0
735,MobileGo MGO , 1.76M,0, 100M, Waves,0,0
736,TCASH TCASH , 1.76M,0, 35.2M, Ethereum (ERC20),0,0
737,AMO Coin AMO , 1.76M,0, 7.93B, Ethereum (ERC20),0,0
738,Happycoin HPC , 1.76M,0, 22.49M, Own Blockchain,0,0
739,NeoWorld Cash NASH , 1.76M,0, 21B, Ethereum (ERC223),0,0
740,aXpire AXPR , 1.75M,0, 282.91M, Ethereum (ERC20),0,0
741,Q DAO Governance token v1.0 QDAO , 1.74M,0, 68.64K, Ethereum (ERC20),0,0
742,ZClassic ZCL , 1.74M,0, 7.35M, Own Blockchain,0,0
743,Opacity OPQ , 1.73M,0, 129M, Ethereum (ERC20),0,0
744,Peculium PCL , 1.71M,0, 2.04B, Ethereum (ERC20),0,0
745,Substratum SUB , 1.7M,0, 383.02M, Own Blockchain,0,0
746,Tarush TAS , 1.68M,0, 6B, Tron (TRC20),0,0
747,Noku NOKU , 1.67M,0, 23.78M, Ethereum (ERC20),0,0
748,Actinium ACM , 1.67M,0, 14.98M, Own Blockchain,0,0
749,BitBall BTB , 1.66M,0, 79.54M, Ethereum (ERC20),0,0
750,Ergo ERG , 1.65M,0, 2.33M, Waves,0,0
751,X-Cash XCASH , 1.65M,0, 46.02B, Own Blockchain,0,0
752,WeTrust TRST , 1.65M,0, 92.15M, Ethereum (ERC20),0,0
753,Skychain SKCH , 1.64M,0, 7.49M, Ethereum (ERC20),0,0
754,Grid+ GRID , 1.63M,0, 39.24M, Ethereum (ERC20),0,0
755,EveryCoin EVY , 1.63M,0, 9.38B, Ethereum (ERC20),0,0
756,Digital Asset Guarantee Token DAGT , 1.6M,0, 23.05M, Ethereum (ERC20),0,0
757,Myriad XMY , 1.59M,0, 1.7B, Own Blockchain,0,0
758,HTMLCOIN HTML , 1.59M,0, 53.07B, Own Blockchain,0,0
759,Quark QRK , 1.58M,0, 260.8M, Own Blockchain,0,0
760,1SG 1SG , 1.58M,0, 2.19M, Ethereum (ERC20),0,0
761,Radium RADS , 1.57M,0, 3.86M, Own Blockchain,0,0
762,Maecenas ART , 1.57M,0, 58.35M, Ethereum (ERC20),0,0
763,ugChain UGC , 1.56M,0, 568.84M, Ethereum (ERC20),0,0
764,LoyalCoin LYL , 1.56M,0, 5.35B, NEM,0,0
765,carVertical CV , 1.55M,0, 7.65B, Ethereum (ERC20),0,0
766,CashBet Coin CBC , 1.54M,0, 162.47M, Ethereum (ERC20),0,0
767,W Green Pay WGP , 1.54M,0, 9.53M, Ethereum (ERC20),0,0
768,I/O Coin IOC , 1.54M,0, 17.76M, Own Blockchain,0,0
769,Vipstar Coin VIPS , 1.54M,0, 48.55B, Own Blockchain,0,0
770,Unibright UBT , 1.54M,0, 139.58M, Ethereum (ERC20),0,0
771,HashCoin HSC , 1.52M,0, 12.86B, Own Blockchain,0,0
772,Covesting COV , 1.51M,0, 18M, Ethereum (ERC20),0,0
773,KickToken KICK , 1.5M,0, 5.59B, Ethereum (ERC20),0,0
774,DigitalBits XDB , 1.49M,0, 118.68M, Ethereum (ERC20),0,0
775,Hiveterminal Token HVN , 1.48M,0, 410.29M, Ethereum (ERC20),0,0
776,PetroDollar XPD , 1.47M,0, 63.99M, Own Blockchain,0,0
777,CryptalDash CRD , 1.47M,0, 1000M, Ethereum (ERC20),0,0
778,ChatCoin CHAT , 1.45M,0, 690M, Ethereum (ERC20),0,0
779,Mysterium MYST , 1.45M,0, 23.67M, Ethereum (ERC20),0,0
780,GridCoin GRC , 1.44M,0, 423.17M, Own Blockchain,0,0
781,MARK.SPACE MRK , 1.43M,0, 773.99M, Ethereum (ERC20),0,0
782,Switcheo SWTH , 1.43M,0, 522.69M, NEO,0,0
783,Kryll KRL , 1.43M,0, 25.01M, Ethereum (ERC20),0,0
784,e-Gulden EFL , 1.43M,0, 17.1M, Own Blockchain,0,0
785,Lition LIT , 1.43M,0, 25.68M, Ethereum (ERC20),0,0
786,SafeInsure SINS , 1.43M,0, 3.78M, Own Blockchain,0,0
787,Sinovate SIN , 1.43M,0, 642.97M, Own Blockchain,0,0
788,PotCoin POT , 1.41M,0, 222.89M, Own Blockchain,0,0
789,Spectre.ai Utility Token SXUT , 1.4M,0, 24.53M, Ethereum (ERC20),0,0
790,Smartshare SSP , 1.39M,0, 4.64B, Ethereum (ERC20),0,0
791,LikeCoin LIKE , 1.37M,0, 473.58M, Ethereum (ERC20),0,0
792,EchoLink EKO , 1.37M,0, 500M, Ethereum (ERC20),0,0
793,LUXCoin LUX , 1.36M,0, 6.66M, Own Blockchain,0,0
794,GoldCoin GLC , 1.36M,0, 41.66M, Own Blockchain,0,0
795,ELA Coin ELAC , 1.36M,0, 183.24M, Ethereum (ERC20),0,0
796,Pascal PASC , 1.36M,0, 28.72M, Own Blockchain,0,0
797,MassGrid MGD , 1.35M,0, 75.06M, Own Blockchain,0,0
798,Azbit AZ , 1.35M,0, 71.47B, Ethereum (ERC20),0,0
799,BOOM BOOM , 1.35M,0, 762.21M, Ethereum (ERC20),0,0
800,Enecuum ENQ , 1.35M,0, 41.36M, Own Blockchain,0,0
801,Turtlecoin TRTL , 1.35M,0, 56.89B, Own Blockchain,0,0
802,PARETO Rewards PARETO , 1.35M,0, 467.63M, Ethereum (ERC20),0,0
803,Kuai Token KT , 1.34M,0, 9.61M, Ethereum (ERC20),0,0
804,Blocktrade Token BTT , 1.34M,0, 55.72M, Ethereum (ERC20),0,0
805,Safe Haven SHA , 1.33M,0, 3.01B, VeChainThor,0,0
806,Mcashchain MCASH , 1.33M,0, 118.52M, Own Blockchain,0,0
807,Atlant ATL , 1.32M,0, 54.18M, Ethereum (ERC20),0,0
808,Edgeless EDG , 1.32M,0, 117.05M, Ethereum (ERC20),0,0
809,Fast Access Blockchain FAB , 1.31M,0, 28.32M, Own Blockchain,0,0
810,Chronobank TIME , 1.31M,0, 710.11K, Ethereum (ERC20),0,0
811,Ubex UBEX , 1.31M,0, 3.11B, Ethereum (ERC20),0,0
812,Niobium Coin NBC , 1.3M,0, 49.08M, Ethereum (ERC20),0,0
813,FansTime FTI , 1.3M,0, 2.85B, Ethereum (ERC20),0,0
814,Hyper Speed Network HSN , 1.3M,0, 42.17M, Ethereum (ERC20),0,0
815,nOS NOS , 1.3M,0, 102.5M, NEO,0,0
816,SafeCoin SAFE , 1.3M,0, 27.74M, Own Blockchain,0,0
817,VeriCoin VRC , 1.29M,0, 32.1M, Own Blockchain,0,0
818,DAEX DAX , 1.29M,0, 354.67M, Own Blockchain,0,0
819,HempCoin THC , 1.29M,0, 252.88M, Own Blockchain,0,0
820,NativeCoin N8V , 1.29M,0, 22.05M, Own Blockchain,0,0
821,BitGreen BITG , 1.28M,0, 9.84M, Own Blockchain,0,0
822,Diamond DMD , 1.28M,0, 3.35M, Own Blockchain,0,0
823,Amoveo VEO , 1.28M,0, 67K, Own Blockchain,0,0
824,CoinPoker CHP , 1.27M,0, 300.71M, Ethereum (ERC20),0,0
825,Bismuth BIS , 1.26M,0, 13.74M, Own Blockchain,0,0
826,Friendz FDZ , 1.26M,0, 515.14M, Ethereum (ERC20),0,0
827,Cryptopay CPAY , 1.25M,0, 68.36M, Ethereum (ERC20),0,0
828,Lisk Machine Learning LML , 1.24M,0, 120M, Ethereum (ERC20),0,0
829,AMLT Token AMLT , 1.24M,0, 239.86M, Ethereum (ERC20),0,0
830,Plair PLA , 1.24M,0, 19.86B, Own Blockchain,0,0
831,Beetle Coin BEET , 1.24M,0, 204M, Own Blockchain,0,0
832,BonusCloud BXC , 1.24M,0, 2.74B, Ethereum (ERC20),0,0
833,Humaniq HMQ , 1.24M,0, 185.81M, Ethereum (ERC20),0,0
834,TrueFeedBack TFB , 1.23M,0, 2.13B, Ethereum (ERC20),0,0
835,Mindexcoin MIC , 1.22M,0, 683.6M, Ethereum (ERC20),0,0
836,RedFOX Labs RFOX , 1.22M,0, 107.9M, Own Blockchain,0,0
837,CloakCoin CLOAK , 1.22M,0, 5.36M, Own Blockchain,0,0
838,Education Ecosystem LEDU , 1.21M,0, 217.79M, Ethereum (ERC20),0,0
839,TrueFlip TFL , 1.21M,0, 6.25M, Ethereum (ERC20),0,0
840,Neurochain NCC , 1.2M,0, 422.66M, Ethereum (ERC20),0,0
841,SpaceChain SPC , 1.2M,0, 515.92M, QTUM,0,0
842,Eden EDN , 1.19M,0, 600M, Ethereum (ERC20),0,0
843,SureRemit RMT , 1.19M,0, 500M, Stellar,0,0
844,Medicalchain MTN , 1.19M,0, 308.66M, Ethereum (ERC20),0,0
845,Colu Local Network CLN , 1.18M,0, 91.03M, Ethereum (ERC20),0,0
846,PIXEL PXL , 1.17M,0, 60.73M, Ethereum (ERC20),0,0
847,Fountain FTN , 1.17M,0, 83.17M, Ethereum (ERC20),0,0
848,Datum DAT , 1.17M,0, 1B, Ethereum (ERC20),0,0
849,Bankex BKX , 1.17M,0, 176.05M, Own Blockchain,0,0
850,Optimal Shelf Availability Token OSA , 1.16M,0, 1.39B, Ethereum (ERC20),0,0
851,Shift SHIFT , 1.16M,0, 13.51M, Own Blockchain,0,0
852,IONChain IONC , 1.15M,0, 121.18M, Ethereum (ERC20),0,0
853,Global Awards Token GAT , 1.15M,0, 685.81M, Ethereum (ERC20),0,0
854,SelfSell SSC , 1.15M,0, 390M, Own Blockchain,0,0
855,VeriSafe VSF , 1.14M,0, 10.88B, Ethereum (ERC20),0,0
856,3DCoin 3DC , 1.14M,0, 68.39M, Own Blockchain,0,0
857,Curecoin CURE , 1.14M,0, 24.29M, Own Blockchain,0,0
858,Crown CRW , 1.13M,0, 23.34M, Own Blockchain,0,0
859,Semux SEM , 1.13M,0, 12.08M, Own Blockchain,0,0
860,CrypticCoin CRYP , 1.13M,0, 2.55B, Own Blockchain,0,0
861,Tolar TOL , 1.12M,0, 245.73M, Ethereum (ERC20),0,0
862,BridgeCoin BCO , 1.11M,0, 27M, Own Blockchain,0,0
863,Orbitcoin ORB , 1.11M,0, 3.22M, Own Blockchain,0,0
864,FintruX Network FTX , 1.11M,0, 95M, Ethereum (ERC20),0,0
865,OVCODE OVC , 1.11M,0, 43.85M, Ethereum (ERC20),0,0
866,HBZ Coin HBZ , 1.11M,0, 978.85M, Ethereum (ERC20),0,0
867,Ampleforth AMPL , 1.11M,0, 2.84M, Ethereum (ERC20),0,0
868,CoinUs CNUS , 1.1M,0, 340M, Ethereum (ERC20),0,0
869,Infinitecoin IFC , 1.1M,0, 90.6B, Own Blockchain,0,0
870,Stronghold Token SHX , 1.1M,0, 3.38B, Stellar,0,0
871,Nework NKC , 1.1M,0, 147.59M, Own Blockchain,0,0
872,AmonD AMON , 1.09M,0, 345.07M, Ethereum (ERC20),0,0
873,GameCredits GAME , 1.09M,0, 69.84M, Own Blockchain,0,0
874,Coineal Token NEAL , 1.09M,0, 311.41M, Ethereum (ERC20),0,0
875,Observer OBSR , 1.09M,0, 1.34B, Own Blockchain,0,0
876,CargoX CXO , 1.08M,0, 155.21M, Ethereum (ERC20),0,0
877,Naka Bodhi Token NBOT , 1.08M,0, 60M, Own Blockchain,0,0
878,Lamden TAU , 1.08M,0, 142.22M, Ethereum (ERC20),0,0
879,Zen Protocol ZP , 1.07M,0, 22.64M, Own Blockchain,0,0
880,Dignity DIG , 1.07M,0, 523.04M, Ethereum (ERC20),0,0
881,Zebi ZCO , 1.07M,0, 368.07M, Own Blockchain,0,0
882,NEXT.exchange NEXT , 1.06M,0, 4.2M, Ethereum (ERC20),0,0
883,Business Credit Substitute BCS , 1.06M,0, 1.18M, Ethereum (ERC20),0,0
884,Vezt VZT , 1.06M,0, 85.92M, Ethereum (ERC20),0,0
885,SolarCoin SLR , 1.06M,0, 55.69M, Own Blockchain,0,0
886,DACSEE DACS , 1.06M,0, 754.97M, Ethereum (ERC20),0,0
887,MidasProtocol MAS , 1.05M,0, 324.5M, Ethereum (ERC20),0,0
888,EXRNchain EXRN , 1.05M,0, 92.5B, Ethereum (ERC20),0,0
889,CEEK VR CEEK , 1.04M,0, 498.65M, Ethereum (ERC20),0,0
890,Bitcoin Atom [Futures] BCA , 1.04M,0, 18.42M, Own Blockchain,0,0
891,ADAMANT Messenger ADM , 1.03M,0, 82.7M, Own Blockchain,0,0
892,OLXA OLXA , 1.02M,0, 1.36B, Ethereum (ERC20),0,0
893,Effect.AI EFX , 1.02M,0, 252.17M, NEO,0,0
894,Rapids RPD , 1.02M,0, 10.95B, Ethereum (ERC20),0,0
895,Pibble PIB , 1.02M,0, 7.44B, Ethereum (ERC20),0,0
896,Proxeus XES , 1M,0, 203.24M, Own Blockchain,0,0
897,Kambria KAT , 997.19K,0, 1.23B, Ethereum (ERC20),0,0
898,HOLD HOLD , 995.94K,0, 704.82M, Ethereum (ERC20),0,0
899,Dimecoin DIME , 993.4K,0, 539.1B, Own Blockchain,0,0
900,MoneyToken IMT , 991K,0, 9.43B, Ethereum (ERC20),0,0
901,QChi QCH , 984.42K,0, 32.38M, Ethereum (ERC20),0,0
902,Swarm City SWT , 982.56K,0, 8.54M, Ethereum (ERC20),0,0
903,NOIA Network NOIA , 982.24K,0, 87.68M, Ethereum (ERC20),0,0
904,Neurotoken NTK , 976.71K,0, 78.91M, Ethereum (ERC20),0,0
905,Uquid Coin UQC , 971.91K,0, 10M, Ethereum (ERC20),0,0
906,Unification UND , 968.82K,0, 44.94M, Ethereum (ERC20),0,0
907,Akropolis AKRO , 968.47K,0, 535M, Ethereum (ERC20),0,0
908,Quasarcoin QAC , 968.14K,0, 168.34M, Own Blockchain,0,0
909,Coinsuper Ecosystem Network CEN , 963.02K,0, 397.13M, Ethereum (ERC20),0,0
910,HorusPay HORUS , 954.29K,0, 872.86M, EOS,0,0
911,Sphere SPHR , 953.83K,0, 12.48M, Own Blockchain,0,0
912,RankingBall RBG , 952.03K,0, 327.28M, Ethereum (ERC20),0,0
913,IG Gold IGG , 949.47K,0, 9.64B, Tron (TRC20),0,0
914,BOMB BOMB , 949K,0, 955.83K, Ethereum (ERC20),0,0
915,Zero ZER , 944.94K,0, 7.24M, Own Blockchain,0,0
916,Ormeus Coin ORMEUS , 944.7K,0, 35.9M, Ethereum (ERC20),0,0
917,Brickblock BBK , 940.38K,0, 75.13M, Ethereum (ERC20),0,0
918,DecentBet DBET , 939.35K,0, 188.63M, Ethereum (ERC20),0,0
919,Galilel GALI , 937.1K,0, 18.26M, Own Blockchain,0,0
920,Cashbery Coin CBC , 935.69K,0, 67.19M, Own Blockchain,0,0
921,BABB BAX , 934.04K,0, 28.43B, Ethereum (ERC20),0,0
922,ALIS ALIS , 933.28K,0, 39.39M, Ethereum (ERC20),0,0
923,Nuggets NUG , 930.7K,0, 1.72B, Ethereum (ERC20),0,0
924,Acute Angle Cloud AAC , 925.38K,0, 250M, Own Blockchain,0,0
925,COTI COTI , 918.06K,0, 98.72M, Own Blockchain,0,0
926,NewYorkCoin NYC , 916.47K,0, 134.02B, Own Blockchain,0,0
927,Beaxy BXY , 916.36K,0, 130.22M, Ethereum (ERC20),0,0
928,FNKOS FNKOS , 911.38K,0, 155.55M, Ethereum (ERC20),0,0
929,Hxro HXRO , 904.85K,0, 58.41M, Ethereum (ERC20),0,0
930,Xriba XRA , 898.76K,0, 97.75M, Ethereum (ERC20),0,0
931,CanYaCoin CAN , 897.64K,0, 92.22M, Ethereum (ERC20),0,0
932,Rate3 RTE , 897.34K,0, 889.38M, Ethereum (ERC20),0,0
933,WinStars.live WNL , 895.79K,0, 16.57M, Ethereum (ERC20),0,0
934,RoBET ROBET , 892.22K,0, 798.7K, Ethereum (ERC20),0,0
935,42-coin 42 , 891.43K,0, 0, Own Blockchain,0,0
936,Trias TRY , 889.9K,0, 793.87M, Ethereum (ERC20),0,0
937,SESSIA KICKS , 881.82K,0, 5.84M, Ethereum (ERC20),0,0
938,Bitcrystals BCY , 881.71K,0, 22.82M, Counterparty,0,0
939,STK STK , 866.21K,0, 343.97M, Ethereum (ERC20),0,0
940,Bounty0x BNTY , 866.19K,0, 232.72M, Ethereum (ERC20),0,0
941,Zeepin ZPT , 862.04K,0, 500M, NEO,0,0
942,Haven Protocol XHV , 855.01K,0, 7M, Own Blockchain,0,0
943,Conceal CCX , 853.27K,0, 5.11M, Own Blockchain,0,0
944,LEOcoin LEO , 850.07K,0, 189.89M, Own Blockchain,0,0
945,FuzeX FXT , 846.98K,0, 824.63M, Own Blockchain,0,0
946,Consensus SEN , 839.16K,0, 1.34B, Own Blockchain,0,0
947,MonetaryUnit MUE , 838.28K,0, 172.81M, Own Blockchain,0,0
948,XEL XEL , 838.12K,0, 91.68M, Own Blockchain,0,0
949,Expanse EXP , 832.79K,0, 16.51M, Own Blockchain,0,0
950,Waves Community Token WCT , 832.15K,0, 10M, Waves,0,0
951,HiCoin XHI , 827.38K,0, 4.43B, Own Blockchain,0,0
952,Cardstack CARD , 822.75K,0, 2.37B, Ethereum (ERC20),0,0
953,KuboCoin KUBO , 821.05K,0, 87.08B, Ethereum (ERC20),0,0
954,Teloscoin TELOS , 820.42K,0, 117.35M, Own Blockchain,0,0
955,Blockchain Certified Data Token BCDT , 818.83K,0, 33.61M, Ethereum (ERC20),0,0
956,CVCoin CVN , 818.52K,0, 12.38M, BitShares,0,0
957,SIBCoin SIB , 810.49K,0, 17.95M, Own Blockchain,0,0
958,InsurePal IPL , 810.16K,0, 228.81M, Ethereum (ERC20),0,0
959,ZPER ZPR , 809.58K,0, 1.31B, Ethereum (ERC20),0,0
960,Uptoken UP , 806.55K,0, 146.54M, Ethereum (ERC20),0,0
961,Online OIO , 806.19K,0, 877.66M, Ethereum (ERC20),0,0
962,Mallcoin MLC , 801.89K,0, 176.14M, Ethereum (ERC20),0,0
963,Sentinel Chain SENC , 792.62K,0, 197.27M, Own Blockchain,0,0
964,Terracoin TRC , 789.48K,0, 22.94M, Own Blockchain,0,0
965,COVA COVA , 789.29K,0, 2.5B, Ethereum (ERC20),0,0
966,Max Property Group MPG , 786.47K,0, 117.55M, Own Blockchain,0,0
967,Vanta Network VNT , 782.13K,0, 2.81B, Ethereum (ERC20),0,0
968,CoinFi COFI , 779.19K,0, 198.66M, Ethereum (ERC20),0,0
969,MUSE XSD , 778.36K,0, 14.58M, Own Blockchain,0,0
970,RED RED , 773.86K,0, 130M, Ethereum (ERC20),0,0
971,Stox STX , 767.27K,0, 53.46M, Ethereum (ERC20),0,0
972,FREE Coin FREE , 761.87K,0, 8.7T, Ethereum (ERC20),0,0
973,AIDUS Token AID , 761.42K,0, 200M, Ethereum (ERC20),0,0
974,Halo Platform HALO , 753.27K,0, 5.05B, Ethereum (ERC20),0,0
975,Iconiq Lab Token ICNQ , 748.56K,0, 3.86M, Ethereum (ERC20),0,0
976,GeoCoin GEO , 741.76K,0, 3.18M, Own Blockchain,0,0
977,Cappasity CAPP , 740.49K,0, 536.92M, Ethereum (ERC20),0,0
978,Atlantis Blue Digital Token ABDT , 739.44K,0, 181.82M, Stellar,0,0
979,NuBits USNBT , 738.89K,0, 10.98M, Own Blockchain,0,0
980,ATN ATN , 736.07K,0, 84.3M, Ethereum (ERC20),0,0
981,Zilla ZLA , 729.23K,0, 60M, Own Blockchain,0,0
982,X8X Token X8X , 727.73K,0, 78.36M, Ethereum (ERC20),0,0
983,Wys Token WYS , 724.52K,0, 102.34M, Ethereum (ERC20),0,0
984,Omni OMNI , 717.88K,0, 562.37K, Own Blockchain,0,0
985,Webflix Token WFX , 716.81K,0, 604.71M, Ethereum (ERC20),0,0
986,Novacoin NVC , 714.12K,0, 2.34M, Own Blockchain,0,0
987,MESG MESG , 714K,0, 34.9M, Ethereum (ERC20),0,0
988,Wibson WIB , 710.66K,0, 2.66B, Ethereum (ERC20),0,0
989,Paypex PAYX , 710.42K,0, 68.43M, Own Blockchain,0,0
990,SRCoin SRCOIN , 706.93K,0, 5.05B, Ethereum (ERC20),0,0
991,RevolutionVR RVR , 705.25K,0, 210M, Own Blockchain,0,0
992,GAMB GMB , 701.1K,0, 3.85B, Ethereum (ERC20),0,0
993,Ivy IVY , 699.95K,0, 431.84M, Ethereum (ERC20),0,0
994,Pluton PLU , 697.79K,0, 850K, Ethereum (ERC20),0,0
995,DABANKING DAB , 697.45K,0, 2.9M, Ethereum (ERC20),0,0
996,EncrypGen DNA , 696.65K,0, 67.03M, Own Blockchain,0,0
997,Atomic Wallet Coin AWC , 691.16K,0, 6.24M, Ethereum (ERC20),0,0
998,EvenCoin EVN , 674.9K,0, 30.88M, Ethereum (ERC20),0,0
999,ESBC ESBC , 674.72K,0, 19.1M, Own Blockchain,0,0
1000,Thrive Token THRT , 674.21K,0, 103.25M, Ethereum (ERC20),0,0
1001,Bitcoin Private BTCP , 671.17K,0, 4.76M, Own Blockchain,0,0
1002,Matryx MTX , 671.13K,0, 23.22M, Ethereum (ERC20),0,0
1003,qiibee QBX , 670.57K,0, 453.21M, Ethereum (ERC20),0,0
1004,Titan Coin TTN , 669.87K,0, 897.6M, Own Blockchain,0,0
1005,Aventus AVT , 664.68K,0, 6M, Ethereum (ERC20),0,0
1006,Trinity Network Credit TNC , 664.3K,0, 333.33M, NEO,0,0
1007,Winco WCO , 661.81K,0, 480.48M, Ethereum (ERC20),0,0
1008,Spiking SPIKE , 661.06K,0, 442.89M, Ethereum (ERC20),0,0
1009,Verasity VRA , 659.2K,0, 2.51B, Ethereum (ERC20),0,0
1010,CryptoBonusMiles CBM , 659.03K,0, 3B, Binance-Chain BEP-2,0,0
1011,Bitcoin Plus XBC , 658.15K,0, 130.89K, Own Blockchain,0,0
1012,Fortuna FOTA , 641.04K,0, 480M, Ethereum (ERC20),0,0
1013,iEthereum IETH , 640.49K,0, 17.98M, Ethereum (ERC20),0,0
1014,Nebula AI NBAI , 639.23K,0, 1.25B, Own Blockchain,0,0
1015,DATx DATX , 638.56K,0, 1.39B, Own Blockchain,0,0
1016,Maverick Chain MVC , 638.45K,0, 106.94M, Ethereum (ERC20),0,0
1017,Bitcoin Interest BCI , 636.48K,0, 18.33M, Own Blockchain,0,0
1018,PlatonCoin PLTC , 636.47K,0, 5.81M, Ethereum (ERC20),0,0
1019,Internxt INXT , 630.2K,0, 629.61K, Ethereum (ERC20),0,0
1020,Open Platform OPEN , 629.76K,0, 718.95M, Ethereum (ERC20),0,0
1021,Hacken HKN , 629.04K,0, 5.49M, Own Blockchain,0,0
1022,Faceter FACE , 627.86K,0, 470.62M, Ethereum (ERC20),0,0
1023,Ubcoin Market UBC , 627.46K,0, 342.27M, Ethereum (ERC20),0,0
1024,Pirl PIRL , 622.19K,0, 56.83M, Own Blockchain,0,0
1025,Carboneum C8 , 622.15K,0, 51.33M, Ethereum (ERC20),0,0
1026,Digital Insurance Token DIT , 621.71K,0, 224.64M, Ethereum (ERC20),0,0
1027,Upfiring UFR , 620.07K,0, 21.6M, Ethereum (ERC20),0,0
1028,Trittium TRTT , 616.8K,0, 128.92M, Own Blockchain,0,0
1029,Auroracoin AUR , 612.17K,0, 18.08M, Own Blockchain,0,0
1030,Amon AMN , 611.94K,0, 567.08M, Ethereum (ERC20),0,0
1031,BiblePay BBP , 605.97K,0, 1.82B, Own Blockchain,0,0
1032,WebDollar WEBD , 602.72K,0, 6.82B, Own Blockchain,0,0
1033,Vodi X VDX , 602.58K,0, 403.71M, Ethereum (ERC20),0,0
1034,OWNDATA OWN , 602.09K,0, 11B, Ethereum (ERC20),0,0
1035,smARTOFGIVING AOG , 601.65K,0, 73.29M, Ethereum (ERC20),0,0
1036,Qbao QBT , 597.59K,0, 65.35M, QTUM,0,0
1037,Sharder SS , 595.34K,0, 283.28M, Ethereum (ERC20),0,0
1038,AidCoin AID , 592.08K,0, 45.65M, Ethereum (ERC20),0,0
1039,AICHAIN AIT , 590.45K,0, 535.07M, Own Blockchain,0,0
1040,WeShow Token WET , 590.23K,0, 159.73M, Ethereum (ERC20),0,0
1041,MTC Mesh Network MTC , 587.9K,0, 365M, Ethereum (ERC20),0,0
1042,Savedroid SVD , 587.34K,0, 2.69B, Ethereum (ERC20),0,0
1043,Alphacat ACAT , 584.56K,0, 2.79B, NEO,0,0
1044,0xBitcoin 0xBTC , 584.08K,0, 5.25M, Ethereum (ERC20),0,0
1045,SPINDLE SPD , 582.97K,0, 3.21B, Ethereum (ERC20),0,0
1046,FLIP FLP , 582.13K,0, 55.96M, Ethereum (ERC20),0,0
1047,Leverj LEV , 578.48K,0, 118.09M, Ethereum (ERC20),0,0
1048,Bittwatt BWT , 578.03K,0, 307.01M, Ethereum (ERC20),0,0
1049,Ifoods Chain IFOOD , 577.13K,0, 2.5B, Ethereum (ERC20),0,0
1050,Lunes LUNES , 575.09K,0, 150.73M, Own Blockchain,0,0
1051,Golos GOLOS , 572.8K,0, 179.65M, Own Blockchain,0,0
1052,win.win TWINS , 572.51K,0, 3.07B, Own Blockchain,0,0
1053,Ice Rock Mining ROCK2 , 569.24K,0, 15.72M, Ethereum (ERC20),0,0
1054,SmileyCoin SMLY , 565.5K,0, 25.96B, Own Blockchain,0,0
1055,HashNet BitEco HNB , 563.77K,0, 29.64M, Ethereum (ERC20),0,0
1056,Essentia ESS , 558.09K,0, 865.92M, Ethereum (ERC20),0,0
1057,Relex RLX , 554.51K,0, 1.85B, Ethereum (ERC20),0,0
1058,Rise RISE , 554.22K,0, 141.45M, Own Blockchain,0,0
1059,B2Bcoin BBC , 549.24K,0, 500M, Ethereum (ERC20),0,0
1060,CannabisCoin CANN , 547.55K,0, 77.23M, Own Blockchain,0,0
1061,Quadrant Protocol EQUAD , 544.88K,0, 334.02M, Ethereum (ERC20),0,0
1062,Denarius D , 540.38K,0, 6.52M, Own Blockchain,0,0
1063,AC3 AC3 , 540.11K,0, 491.01M, Own Blockchain,0,0
1064,Goldmint MNTP , 538.93K,0, 1.91M, Ethereum (ERC20),0,0
1065,DomRaider DRT , 538.6K,0, 591.5M, Ethereum (ERC20),0,0
1066,Patientory PTOY , 536.47K,0, 70M, Ethereum (ERC20),0,0
1067,DRP Utility DRPU , 531.81K,0, 3.53M, Ethereum (ERC20),0,0
1068,Cloudbric CLB , 530.4K,0, 428.17M, Ethereum (ERC20),0,0
1069,FarmaTrust FTT , 529.69K,0, 600M, Ethereum (ERC223),0,0
1070,NANJCOIN NANJ , 524.12K,0, 19.36B, Ethereum (ERC223),0,0
1071,PinkCoin PINK , 521.76K,0, 412.54M, Own Blockchain,0,0
